person,personLabel,geslachtLabel,geboortejaar,geboorteplaatsLabel,imageLink
http://www.wikidata.org/entity/Q3067739,Joaquim Rubió i Ors,mannelijk,1818,Barcelona,http://commons.wikimedia.org/wiki/Special:FilePath/Rubio%20i%20ors.jpg
http://www.wikidata.org/entity/Q98322098,Cyriel Delaere,mannelijk,1861,Lendelede,
http://www.wikidata.org/entity/Q121078322,Elisabeth Josèphe Thérèse van den Broeck,vrouwelijk,1844,Sint-Niklaas,
http://www.wikidata.org/entity/Q123050592,Ruth Rose Drew,vrouwelijk,1816,Haiderabad,
http://www.wikidata.org/entity/Q119860278,Hendrik Claes,mannelijk,1849,Antwerpen,
http://www.wikidata.org/entity/Q115818009,Louis Goormachtigh,mannelijk,1836,Dottenijs,
http://www.wikidata.org/entity/Q125274323,Valentine Josephine Marie Terrière,vrouwelijk,1868,Izegem,
http://www.wikidata.org/entity/Q37766220,Jan Broeckaert,mannelijk,1837,Wetteren,
http://www.wikidata.org/entity/Q2542423,Karel de Gheldere,mannelijk,1839,Torhout,
http://www.wikidata.org/entity/Q2062803,William Henry James Weale,mannelijk,1832,Marylebone,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Weale.jpg
http://www.wikidata.org/entity/Q125351404,Louisa Maria Anna Verdbois,vrouwelijk,1846,Bouillon,
http://www.wikidata.org/entity/Q18533827,Edmond Van der Straeten,mannelijk,1826,Oudenaarde,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Edmond%20Van%20der%20Straeten%201895%20barcode%20910000105444.jpg
http://www.wikidata.org/entity/Q1894475,François Van den Abeele,mannelijk,1824,Brugge,
http://www.wikidata.org/entity/Q120829902,Jules Roose,mannelijk,1860,Oostnieuwkerke,
http://www.wikidata.org/entity/Q2159132,Pieter Lansens,mannelijk,1801,Lichtervelde,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Lansens.jpg
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,mannelijk,1840,Frankrijk,
http://www.wikidata.org/entity/Q115839443,Constantinus Van Zieleghem,mannelijk,1831,Tielt,
http://www.wikidata.org/entity/Q120729903,Julien Maurus,mannelijk,1843,Oostende,
http://www.wikidata.org/entity/Q56036018,Alexandre Bonvarlet,mannelijk,1826,Duinkerke,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Bonvarlet%20by%20Michel%20Berthaud.jpg
http://www.wikidata.org/entity/Q115834868,Henri Louis Joseph Messiaen,mannelijk,1842,Ten Brielen,
http://www.wikidata.org/entity/Q125342034,Maria Helena Pieters,vrouwelijk,1877,Reninge,
http://www.wikidata.org/entity/Q981444,Hugo Verriest,mannelijk,1840,Deerlijk,http://commons.wikimedia.org/wiki/Special:FilePath/HugoVerriest.jpg
http://www.wikidata.org/entity/Q2426280,Lodewijk Van Haecke,mannelijk,1829,Brugge,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20pastoor%20L.%20Van%20Haecke%2C%201897%2C%20Groeningemuseum%2C%200040504000.jpg
http://www.wikidata.org/entity/Q119637011,Louis Wallays,mannelijk,,,
http://www.wikidata.org/entity/Q123615494,Victor Vercruysse,mannelijk,1832,Kortrijk,
http://www.wikidata.org/entity/Q115814591,Evarist De Boeck,mannelijk,1858,Hofstade,
http://www.wikidata.org/entity/Q115839360,Bruno Van Hove,mannelijk,1819,Izegem,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Monsieur%20le%20chanoine%20Van%20Hove%2C%201869%2C%20Musea%20Brugge%2C%200020.GRO0352.III.jpg
http://www.wikidata.org/entity/Q14101076,Pieter Génard,mannelijk,1830,Antwerpen,http://commons.wikimedia.org/wiki/Special:FilePath/PieterG%C3%A9nard.jpg
http://www.wikidata.org/entity/Q115835156,Leonardus Lootens,mannelijk,1858,Anzegem,
http://www.wikidata.org/entity/Q116687401,Thérèse Hubertine Abels,vrouwelijk,1842,Roermond,
http://www.wikidata.org/entity/Q76019711,Jonathan Henry Woodward,mannelijk,1805,County Cavan,
http://www.wikidata.org/entity/Q119217729,Achille Croquison,mannelijk,1845,Kortrijk,
http://www.wikidata.org/entity/Q118792556,Edmund Benedict Hicks,mannelijk,1841,Emsworth,
http://www.wikidata.org/entity/Q115820195,Joseph Axters,mannelijk,1850,Brugge,
http://www.wikidata.org/entity/Q116687356,Leonie Manceau,vrouwelijk,1850,Torhout,
http://www.wikidata.org/entity/Q2345694,Edward De Gryse,mannelijk,1848,Roeselare,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20De%20Gryse%20-%20priester-deken%20-%20Kortrijk.jpg
http://www.wikidata.org/entity/Q111744944,Casper Lambertus van Langenhuijsen,mannelijk,1802,'s-Hertogenbosch,
http://www.wikidata.org/entity/Q115835605,Emiel Minne,mannelijk,1827,Tielt,
http://www.wikidata.org/entity/Q113627806,Hendrik Karel Van Doorne,mannelijk,1841,Poeke,
http://www.wikidata.org/entity/Q116460145,Gerrit Pieter Roos,mannelijk,1822,Aardenburg,
http://www.wikidata.org/entity/Q119006339,Samuel Roper,mannelijk,1800,Dorset,
http://www.wikidata.org/entity/Q115813025,Auguste de Laage de Bellefaye,mannelijk,1821,Sint-Omaars,
http://www.wikidata.org/entity/Q11071766,Alphonse de Voss,mannelijk,1840,Mesen,
http://www.wikidata.org/entity/Q118142378,Alfons Bouckaert,mannelijk,1867,Beveren,
http://www.wikidata.org/entity/Q125357784,Mary Catherine Cole,vrouwelijk,1858,Bristol,
http://www.wikidata.org/entity/Q117265039,Maria Ludovica Charlotta Lauwers,vrouwelijk,1856,Ingelmunster,
http://www.wikidata.org/entity/Q117265039,Maria Ludovica Charlotta Lauwers,vrouwelijk,1868,Ingelmunster,
http://www.wikidata.org/entity/Q2181847,Jeroom Noterdaeme,mannelijk,1862,Lo,
http://www.wikidata.org/entity/Q118151362,Victor Leonardus Franciscus Goethals,mannelijk,1865,Tielt,
http://www.wikidata.org/entity/Q21549953,Johannes Franck,mannelijk,1854,Bendorf,
