Source,Target,Label,imageLink
http://www.wikidata.org/entity/Q2542423,http://www.wikidata.org/entity/Q2546317,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q118151362,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q125559455,heeft als correspondent,
http://www.wikidata.org/entity/Q110039178,http://www.wikidata.org/entity/Q115819139,heeft als correspondent,
http://www.wikidata.org/entity/Q101627274,http://www.wikidata.org/entity/Q110039191,heeft als correspondent,
http://www.wikidata.org/entity/Q2491266,http://www.wikidata.org/entity/Q2619202,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q2617184,heeft als correspondent,
http://www.wikidata.org/entity/Q110039361,http://www.wikidata.org/entity/Q2675588,heeft als correspondent,
http://www.wikidata.org/entity/Q110039159,http://www.wikidata.org/entity/Q15461013,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q56036067,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q62080181,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q2638823,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q3032807,heeft als correspondent,
http://www.wikidata.org/entity/Q100534520,http://www.wikidata.org/entity/Q784390,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q329468,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q784390,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q2542423,heeft als correspondent,
http://www.wikidata.org/entity/Q2524668,http://www.wikidata.org/entity/Q2546317,heeft als correspondent,
http://www.wikidata.org/entity/Q110039178,http://www.wikidata.org/entity/Q2491266,heeft als correspondent,
http://www.wikidata.org/entity/Q110039178,http://www.wikidata.org/entity/Q2524668,heeft als correspondent,
http://www.wikidata.org/entity/Q101627274,http://www.wikidata.org/entity/Q2491266,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q1920135,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q2154331,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q2190493,heeft als correspondent,
http://www.wikidata.org/entity/Q113466955,http://www.wikidata.org/entity/Q2539969,heeft als correspondent,
