personA,personB,relatieTypeLabel
http://www.wikidata.org/entity/Q122884757,http://www.wikidata.org/entity/Q2062803,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q122884757,http://www.wikidata.org/entity/Q2062803,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q100534520,http://www.wikidata.org/entity/Q2190493,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q116687401,http://www.wikidata.org/entity/Q56036064,http://www.wikidata.org/prop/direct/P26
http://www.wikidata.org/entity/Q2606766,http://www.wikidata.org/entity/Q3080591,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q2606766,http://www.wikidata.org/entity/Q3538623,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q2606766,http://www.wikidata.org/entity/Q3538623,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q118766019,http://www.wikidata.org/entity/Q4865289,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q2770967,http://www.wikidata.org/entity/Q354052,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q117244596,http://www.wikidata.org/entity/Q55770641,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q119039938,http://www.wikidata.org/entity/Q2062803,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q119039938,http://www.wikidata.org/entity/Q2062803,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q119039774,http://www.wikidata.org/entity/Q2491266,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q119039774,http://www.wikidata.org/entity/Q2491266,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q15982596,http://www.wikidata.org/entity/Q15982597,http://www.wikidata.org/prop/direct/P26
http://www.wikidata.org/entity/Q3080591,http://www.wikidata.org/entity/Q3538623,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q3080591,http://www.wikidata.org/entity/Q3538623,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q15982596,http://www.wikidata.org/entity/Q20902162,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q15982596,http://www.wikidata.org/entity/Q20902162,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q115818009,http://www.wikidata.org/entity/Q115836065,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q111336261,http://www.wikidata.org/entity/Q116621407,http://www.wikidata.org/prop/direct/P26
http://www.wikidata.org/entity/Q115831509,http://www.wikidata.org/entity/Q116660566,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q115831509,http://www.wikidata.org/entity/Q117244395,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q111342238,http://www.wikidata.org/entity/Q119794988,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q111342238,http://www.wikidata.org/entity/Q119794988,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q119217729,http://www.wikidata.org/entity/Q28584401,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q119217729,http://www.wikidata.org/entity/Q28584401,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q129121545,http://www.wikidata.org/entity/Q981444,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q129121545,http://www.wikidata.org/entity/Q2190493,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q116510998,http://www.wikidata.org/entity/Q116621487,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q116509612,http://www.wikidata.org/entity/Q116687284,http://www.wikidata.org/prop/direct/P3373
http://www.wikidata.org/entity/Q115820636,http://www.wikidata.org/entity/Q970036,http://www.wikidata.org/prop/direct/P22
http://www.wikidata.org/entity/Q115820636,http://www.wikidata.org/entity/Q970036,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q116508558,http://www.wikidata.org/entity/Q118725738,http://www.wikidata.org/prop/direct/P25
http://www.wikidata.org/entity/Q116508558,http://www.wikidata.org/entity/Q118725738,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q116509612,http://www.wikidata.org/entity/Q118792556,http://www.wikidata.org/prop/direct/P40
http://www.wikidata.org/entity/Q116509612,http://www.wikidata.org/entity/Q118792556,http://www.wikidata.org/prop/direct/P25
http://www.wikidata.org/entity/Q116660566,http://www.wikidata.org/entity/Q117244395,http://www.wikidata.org/prop/direct/P3373
