Source,Target,Label,Type,Weight,Relationship Type
Q101627274,Q110039191,heeft als correspondent,Directed,1,heeft als correspondent
Q2546317,Q3515115,heeft als correspondent,Directed,1,heeft als correspondent
Q110039361,Q2675588,heeft als correspondent,Directed,1,heeft als correspondent
Q110039159,Q15461013,heeft als correspondent,Directed,1,heeft als correspondent
Q17428533,Q3166510,heeft als correspondent,Directed,1,heeft als correspondent
Q115834834,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q20902162,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q3032807,heeft als correspondent,Directed,1,heeft als correspondent
Q115817263,Q115818849,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q120552708,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q123689724,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q118151362,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q125559455,heeft als correspondent,Directed,1,heeft als correspondent
Q110039178,Q115819139,heeft als correspondent,Directed,1,heeft als correspondent
Q100534520,Q784390,heeft als correspondent,Directed,1,heeft als correspondent
Q114081509,Q2190493,heeft als correspondent,Directed,1,heeft als correspondent
Q110039178,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q110039178,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q101627274,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q3515115,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q115830433,Q2619202,heeft als correspondent,Directed,1,heeft als correspondent
Q175669,Q2190493,heeft als correspondent,Directed,1,heeft als correspondent
Q18655152,Q2065109,heeft als correspondent,Directed,1,heeft als correspondent
Q18655152,Q2539969,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q1920135,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2154331,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2190493,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2539969,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2638823,heeft als correspondent,Directed,1,heeft als correspondent
Q113627806,Q2298746,heeft als correspondent,Directed,1,heeft als correspondent
Q113681935,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q1920135,Q2191260,heeft als correspondent,Directed,1,heeft als correspondent
Q118792556,Q2190493,heeft als correspondent,Directed,1,heeft als correspondent
Q115820195,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q13576607,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q117244395,Q2190493,heeft als correspondent,Directed,1,heeft als correspondent
Q117244395,Q20902162,heeft als correspondent,Directed,1,heeft als correspondent
Q117244643,Q20902162,heeft als correspondent,Directed,1,heeft als correspondent
Q2298746,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q2298746,Q2546317,heeft als correspondent,Directed,1,heeft als correspondent
Q115806479,Q2298746,heeft als correspondent,Directed,1,heeft als correspondent
Q116509131,Q62080181,heeft als correspondent,Directed,1,heeft als correspondent
Q116509612,Q116510998,heeft als correspondent,Directed,1,heeft als correspondent
Q2360914,Q62080181,heeft als correspondent,Directed,1,heeft als correspondent
Q2672741,Q62080181,heeft als correspondent,Directed,1,heeft als correspondent
Q2298746,Q764378,heeft als correspondent,Directed,1,heeft als correspondent
Q2298746,Q2677198,heeft als correspondent,Directed,1,heeft als correspondent
Q1280942,Q57197744,heeft als correspondent,Directed,1,heeft als correspondent
Q119013626,Q13576607,heeft als correspondent,Directed,1,heeft als correspondent
Q119701807,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q119796023,Q2619202,heeft als correspondent,Directed,1,heeft als correspondent
Q115839360,Q970036,heeft als correspondent,Directed,1,heeft als correspondent
Q120552708,Q2181847,heeft als correspondent,Directed,1,heeft als correspondent
Q120552708,Q2580620,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q15982596,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q15982597,heeft als correspondent,Directed,1,heeft als correspondent
Q586323,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q1280942,Q2360914,heeft als correspondent,Directed,1,heeft als correspondent
Q1280942,Q2580620,heeft als correspondent,Directed,1,heeft als correspondent
Q117244395,Q15982596,heeft als correspondent,Directed,1,heeft als correspondent
Q120552708,Q56036026,heeft als correspondent,Directed,1,heeft als correspondent
Q118136722,Q3164253,heeft als correspondent,Directed,1,heeft als correspondent
Q120900509,Q57197744,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q116660566,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q117244395,heeft als correspondent,Directed,1,heeft als correspondent
Q115980136,Q118725738,heeft als correspondent,Directed,1,heeft als correspondent
Q115831509,Q125282135,heeft als correspondent,Directed,1,heeft als correspondent
Q116508558,Q118725738,heeft als correspondent,Directed,1,heeft als correspondent
Q116509612,Q118792556,heeft als correspondent,Directed,1,heeft als correspondent
Q116621552,Q117244596,heeft als correspondent,Directed,1,heeft als correspondent
Q116660566,Q117244395,heeft als correspondent,Directed,1,heeft als correspondent
Q116660566,Q117244643,heeft als correspondent,Directed,1,heeft als correspondent
Q118189670,Q119224999,heeft als correspondent,Directed,1,heeft als correspondent
Q2154331,Q2546317,heeft als correspondent,Directed,1,heeft als correspondent
Q2182589,Q3032807,heeft als correspondent,Directed,1,heeft als correspondent
Q2190493,Q3515115,heeft als correspondent,Directed,1,heeft als correspondent
Q2266893,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2360914,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2360914,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q2457997,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2491266,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2491266,Q2619202,heeft als correspondent,Directed,1,heeft als correspondent
Q1920135,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q1978794,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2065109,Q2154331,heeft als correspondent,Directed,1,heeft als correspondent
Q2100582,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q784390,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q2546317,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q2542423,Q2546317,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q62080181,heeft als correspondent,Directed,1,heeft als correspondent
Q2496044,Q378133,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q329468,heeft als correspondent,Directed,1,heeft als correspondent
Q2617184,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q2619202,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q110039178,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q15982596,Q20902162,heeft als correspondent,Directed,1,heeft als correspondent
Q15982597,Q20902162,heeft als correspondent,Directed,1,heeft als correspondent
Q115815697,Q120552708,heeft als correspondent,Directed,1,heeft als correspondent
Q115835605,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q120442396,Q2779054,heeft als correspondent,Directed,1,heeft als correspondent
Q13769746,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q18655152,Q2617184,heeft als correspondent,Directed,1,heeft als correspondent
Q119013806,Q120552708,heeft als correspondent,Directed,1,heeft als correspondent
Q2190493,Q6242432,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q2542423,heeft als correspondent,Directed,1,heeft als correspondent
Q122842204,Q15627098,heeft als correspondent,Directed,1,heeft als correspondent
Q110039178,Q2050293,heeft als correspondent,Directed,1,heeft als correspondent
Q20902162,Q2684959,heeft als correspondent,Directed,1,heeft als correspondent
Q120855316,Q120855780,heeft als correspondent,Directed,1,heeft als correspondent
Q2524668,Q56036067,heeft als correspondent,Directed,1,heeft als correspondent
Q14331462,Q2672741,heeft als correspondent,Directed,1,heeft als correspondent
Q2050293,Q4722117,heeft als correspondent,Directed,1,heeft als correspondent
Q2154331,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q2298746,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2319173,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q2361397,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2491266,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2496044,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2779054,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q110039361,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q115811334,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q115815004,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q13575404,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q2491266,heeft als correspondent,Directed,1,heeft als correspondent
Q1920135,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2099446,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q2183646,Q2542423,heeft als correspondent,Directed,1,heeft als correspondent
Q2360914,Q3166510,heeft als correspondent,Directed,1,heeft als correspondent
Q2134167,Q3032807,heeft als correspondent,Directed,1,heeft als correspondent
Q2684959,Q3166510,heeft als correspondent,Directed,1,heeft als correspondent
Q123689724,Q2546317,heeft als correspondent,Directed,1,heeft als correspondent
Q115825488,Q3164253,heeft als correspondent,Directed,1,heeft als correspondent
Q115825488,Q3166510,heeft als correspondent,Directed,1,heeft als correspondent
Q120729190,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q120733873,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q120900509,Q2524668,heeft als correspondent,Directed,1,heeft als correspondent
Q116522102,Q3166510,heeft als correspondent,Directed,1,heeft als correspondent
Q115831295,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q120718341,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q113627806,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q2154331,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q2183646,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q2190493,Q981444,heeft als correspondent,Directed,1,heeft als correspondent
Q115979048,Q80079104,heeft als correspondent,Directed,1,heeft als correspondent
Q2617184,Q719358,heeft als correspondent,Directed,1,heeft als correspondent
Q125357784,Q75279907,heeft als correspondent,Directed,1,heeft als correspondent
Q2617184,Q970833,heeft als correspondent,Directed,1,heeft als correspondent
Q3032807,Q377071,heeft als correspondent,Directed,1,heeft als correspondent
Q113466955,Q42196616,heeft als correspondent,Directed,1,heeft als correspondent
Q3164253,Q7790140,heeft als correspondent,Directed,1,heeft als correspondent
Q2617184,Q29019503,heeft als correspondent,Directed,1,heeft als correspondent
Q2638823,Q42196616,heeft als correspondent,Directed,1,heeft als correspondent
Q115835763,Q42196616,heeft als correspondent,Directed,1,heeft als correspondent
Q100534520,Q981444,Broer of Zus,Directed,1,familieverband
Q122854006,Q2672741,Kind,Directed,1,familieverband
Q122854006,Q2672741,Vader,Directed,1,familieverband
Q100534520,Q2190493,Broer of Zus,Directed,1,familieverband
Q116687401,Q56036064,Partner,Directed,1,familieverband
Q122831483,Q13576607,Broer of Zus,Directed,1,familieverband
Q2672741,Q354052,Kind,Directed,1,familieverband
Q2672741,Q354052,Vader,Directed,1,familieverband
Q2606766,Q3080591,Broer of Zus,Directed,1,familieverband
Q2606766,Q3538623,Vader,Directed,1,familieverband
Q2606766,Q3538623,Kind,Directed,1,familieverband
Q117244596,Q55770641,Broer of Zus,Directed,1,familieverband
Q117244643,Q55770641,Kind,Directed,1,familieverband
Q117244643,Q55770641,Moeder,Directed,1,familieverband
Q15982596,Q15982597,Partner,Directed,1,familieverband
Q15982596,Q20902162,Vader,Directed,1,familieverband
Q15982596,Q20902162,Kind,Directed,1,familieverband
Q115818009,Q115836065,Broer of Zus,Directed,1,familieverband
Q111336261,Q116621407,Partner,Directed,1,familieverband
Q115831509,Q116660566,Broer of Zus,Directed,1,familieverband
Q115831509,Q117244395,Broer of Zus,Directed,1,familieverband
Q119217729,Q28584401,Vader,Directed,1,familieverband
Q119217729,Q28584401,Kind,Directed,1,familieverband
Q116509612,Q116687284,Broer of Zus,Directed,1,familieverband
Q116509612,Q118792556,Moeder,Directed,1,familieverband
Q116509612,Q118792556,Kind,Directed,1,familieverband
Q116621699,Q117244395,Vader,Directed,1,familieverband
Q116621699,Q117244395,Kind,Directed,1,familieverband
Q116621699,Q117244596,Broer of Zus,Directed,1,familieverband
Q116621699,Q117244643,Kind,Directed,1,familieverband
Q116621699,Q117244643,Moeder,Directed,1,familieverband
Q125351404,Q125351679,Partner,Directed,1,familieverband
Q121078208,Q121078322,Kind,Directed,1,familieverband
Q121078208,Q121078322,Moeder,Directed,1,familieverband
Q120629807,Q2481707,Broer of Zus,Directed,1,familieverband
Q115831509,Q15982596,Vader,Directed,1,familieverband
Q115831509,Q15982596,Kind,Directed,1,familieverband
Q115831509,Q15982597,Moeder,Directed,1,familieverband
Q115831509,Q15982597,Kind,Directed,1,familieverband
Q115831509,Q20902162,Broer of Zus,Directed,1,familieverband
Q117244395,Q117244643,Partner,Directed,1,familieverband
Q117244596,Q117244643,Moeder,Directed,1,familieverband
Q117244596,Q117244643,Kind,Directed,1,familieverband
Q117227189,Q118772822,Partner,Directed,1,familieverband
Q121053317,Q2065109,Vader,Directed,1,familieverband
Q121053317,Q2065109,Kind,Directed,1,familieverband
Q175669,Q20902162,Moeder,Directed,1,familieverband
Q175669,Q20902162,Kind,Directed,1,familieverband
Q116659577,Q15982596,Broer of Zus,Directed,1,familieverband
Q113466955,Q116620937,Broer of Zus,Directed,1,familieverband
Q117244395,Q2154331,Kind,Directed,1,familieverband
Q117244395,Q2154331,Vader,Directed,1,familieverband
Q117244596,Q2154331,Broer of Zus,Directed,1,familieverband
Q117244643,Q2154331,Kind,Directed,1,familieverband
Q117244643,Q2154331,Moeder,Directed,1,familieverband
Q117265039,Q2183646,Broer of Zus,Directed,1,familieverband
Q113627806,Q116621244,Broer of Zus,Directed,1,familieverband
Q116687356,Q22002048,Partner,Directed,1,familieverband
Q117244395,Q15982596,Vader,Directed,1,familieverband
Q117244395,Q15982596,Kind,Directed,1,familieverband
Q117244395,Q15982597,Moeder,Directed,1,familieverband
Q117244395,Q15982597,Kind,Directed,1,familieverband
Q117244395,Q20902162,Broer of Zus,Directed,1,familieverband
Q113486838,Q354052,Partner,Directed,1,familieverband
Q113486838,Q2672741,Kind,Directed,1,familieverband
Q113486838,Q2672741,Moeder,Directed,1,familieverband
Q100534520,Q129121545,Broer of Zus,Directed,1,familieverband
Q1978794,Q784390,Broer of Zus,Directed,1,familieverband
Q122884053,Q2062803,Vader,Directed,1,familieverband
Q122884053,Q2062803,Kind,Directed,1,familieverband
Q122963358,Q970036,Kind,Directed,1,familieverband
Q122963358,Q970036,Vader,Directed,1,familieverband
Q118495679,Q1978794,Kind,Directed,1,familieverband
Q118495679,Q1978794,Vader,Directed,1,familieverband
Q2770967,Q354052,Broer of Zus,Directed,1,familieverband
Q119039774,Q2491266,Vader,Directed,1,familieverband
Q119039774,Q2491266,Kind,Directed,1,familieverband
Q119797432,Q122779793,Broer of Zus,Directed,1,familieverband
Q3080591,Q3538623,Vader,Directed,1,familieverband
Q3080591,Q3538623,Kind,Directed,1,familieverband
Q115821481,Q115979140,Broer of Zus,Directed,1,familieverband
Q115837342,Q115840234,Broer of Zus,Directed,1,familieverband
Q129121545,Q981444,Broer of Zus,Directed,1,familieverband
Q129121545,Q2190493,Broer of Zus,Directed,1,familieverband
Q120855316,Q120855780,Partner,Directed,1,familieverband
Q115820636,Q970036,Kind,Directed,1,familieverband
Q115820636,Q970036,Vader,Directed,1,familieverband
Q116508558,Q118725738,Kind,Directed,1,familieverband
Q116508558,Q118725738,Moeder,Directed,1,familieverband
Q120855316,Q122903266,Kind,Directed,1,familieverband
Q120855316,Q122903266,Vader,Directed,1,familieverband
Q120855316,Q122903342,Vader,Directed,1,familieverband
Q120855316,Q122903342,Kind,Directed,1,familieverband
Q120855780,Q122903266,Kind,Directed,1,familieverband
