source,sourceLabel,target,targetLabel,richtingBeschrijving,rolLabel,start,eind,punt
http://www.wikidata.org/entity/Q119454376,'t Daghet in den Oosten,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),medewerker,,,
http://www.wikidata.org/entity/Q115818424,Achiel Piepers,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1889-11-06T00:00:00Z
http://www.wikidata.org/entity/Q119013873,Achiel Van de Putte,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1892-05-15T00:00:00Z
http://www.wikidata.org/entity/Q119217729,Achille Croquison,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,,,1893-10-13T00:00:00Z
http://www.wikidata.org/entity/Q113754119,Adolf De Wolf,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1886-06-01T00:00:00Z,1898-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2491266,Johan Winkler,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q120729190,Camiel-Hector Marichal,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q115820195,Joseph Axters,Onderlinge Correspondentie (Source → Target),briefschrijver,,,1889-12-02T00:00:00Z
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q110039178,Pieter Baes,Onderlinge Correspondentie (Source → Target),briefschrijver,1879-05-01T00:00:00Z,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2298746,Aloïs Walgrave,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2361397,Frans De Cort,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q120900509,Emile Florimond Herman Van Biervliet,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q120733873,Johannes-Désiré Minnaert,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q115815004,Hendrik Mortier,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2546317,Eugeen van Oye,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q336977,Guido Gezelle,Relevant Persoon (Zender) → Guido (Ontvanger),briefschrijver,1867-12-01T00:00:00Z,1885-11-27T00:00:00Z,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q13575404,Edward Van Even,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q115811334,Joseph Samyn,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2542423,Karel de Gheldere,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q1978794,Joseph Alberdingk Thijm,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2099446,Amaat Joos,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q110039361,Polydoor Dionysius Daniëls,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q62080181,Ernest Rembry,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
http://www.wikidata.org/entity/Q2524668,Adolf Duclos,http://www.wikidata.org/entity/Q2617184,Karel De Flou,Onderlinge Correspondentie (Source → Target),briefschrijver,,,
