person,personLabel,relatieLabel,value,valueLabel,start,eind,punt
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,Beroep,http://www.wikidata.org/entity/Q36834,componist,,,
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,Beroep,http://www.wikidata.org/entity/Q40348,advocaat,,,
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,Beroep,http://www.wikidata.org/entity/Q82955,politicus,,,
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,Beroep,http://www.wikidata.org/entity/Q49757,dichter,,,
http://www.wikidata.org/entity/Q100534520,Adolf Verriest,Werklocatie,http://www.wikidata.org/entity/Q12995,Kortrijk,,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q3621491,archeoloog,,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q1753370,parochievicaris,1889-09-23T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q1469535,rooms-katholiek priester,1883-12-22T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q2251335,leerkracht,1884-09-18T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q1056391,rector,,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Beroep,http://www.wikidata.org/entity/Q955464,pastoor,,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Werkgever,http://www.wikidata.org/entity/Q119853947,Normaalschool Torhout,1887-09-10T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Werkgever,http://www.wikidata.org/entity/Q118369334,Sint-Jozefscollege Tielt,1884-09-18T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Werklocatie,http://www.wikidata.org/entity/Q651724,Pittem,1894-11-24T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Werklocatie,http://www.wikidata.org/entity/Q651811,Tielt,1884-09-18T00:00:00Z,,
http://www.wikidata.org/entity/Q101627274,Juliaan Claerhout,Werklocatie,http://www.wikidata.org/entity/Q705020,Kaster,1911-02-17T00:00:00Z,,
