source,target,Type,Weight,Rol,StartYear,EndYear
Q119454376,Q336977,Directed,1,medewerker,1710,1710
Q115818424,Q336977,Directed,1,correspondent,1889,1889
Q119013873,Q336977,Directed,1,correspondent,1892,1892
Q119217729,Q336977,Directed,1,correspondent,1893,1893
Q113754119,Q336977,Directed,1,correspondent,1886,1898
Q2524668,Q2491266,Directed,1,correspondent,1710,1710
Q2524668,Q120729190,Directed,1,correspondent,1710,1710
Q2524668,Q115820195,Directed,1,correspondent,1889,1889
Q2524668,Q110039178,Directed,1,correspondent,1879,1879
Q2524668,Q2298746,Directed,1,correspondent,1710,1710
Q2524668,Q2361397,Directed,1,correspondent,1710,1710
Q2524668,Q120900509,Directed,1,correspondent,1710,1710
Q2524668,Q120733873,Directed,1,correspondent,1710,1710
Q2524668,Q115815004,Directed,1,correspondent,1710,1710
Q2524668,Q2546317,Directed,1,correspondent,1710,1710
Q2524668,Q336977,Directed,1,correspondent,1867,1885
Q2524668,Q13575404,Directed,1,correspondent,1710,1710
Q2524668,Q115811334,Directed,1,correspondent,1710,1710
Q2524668,Q2542423,Directed,1,correspondent,1710,1710
Q2524668,Q1978794,Directed,1,correspondent,1710,1710
Q2524668,Q2099446,Directed,1,correspondent,1710,1710
Q2524668,Q110039361,Directed,1,correspondent,1710,1710
Q2524668,Q62080181,Directed,1,correspondent,1710,1710
Q2524668,Q2617184,Directed,1,correspondent,1710,1710
Q2524668,Q329468,Directed,1,correspondent,1884,1884
Q2524668,Q1920135,Directed,1,correspondent,1710,1710
Q2524668,Q56036067,Directed,1,correspondent,1710,1710
Q2524668,Q784390,Directed,1,correspondent,1889,1891
Q2524668,Q2496044,Directed,1,correspondent,1710,1710
Q43140929,Q336977,Directed,1,correspondent,1884,1884
Q100534520,Q336977,Directed,1,correspondent,1872,1872
Q100534520,Q784390,Directed,1,correspondent,1886,1886
Q100534520,Q336977,Directed,1,vriend,1710,1710
Q136793932,Q336977,Directed,1,bekende,1710,1710
Q116687284,Q336977,Directed,1,correspondent,1857,1857
Q118772822,Q336977,Directed,1,correspondent,1895,1895
Q586323,Q981444,Directed,1,correspondent,1710,1710
Q586323,Q336977,Directed,1,correspondent,1899,1899
Q2832059,Q336977,Directed,1,correspondent,1710,1710
Q115811921,Q336977,Directed,1,bekende,1710,1710
Q115811921,Q62080181,Directed,1,bekende,1710,1710
Q56036018,Q336977,Directed,1,correspondent,1885,1891
Q118142378,Q336977,Directed,1,correspondent,1895,1896
Q110039191,Q336977,Directed,1,correspondent,1896,1896
Q2100582,Q336977,Directed,1,correspondent,1895,1897
Q2638823,Q113466955,Directed,1,correspondent,1888,1888
Q2638823,Q336977,Directed,1,correspondent,1885,1892
Q56036059,Q336977,Directed,1,correspondent,1888,1888
Q2539969,Q336977,Directed,1,correspondent,1710,1710
Q119621396,Q336977,Directed,1,vriend,1710,1710
Q2050293,Q4722117,Directed,1,correspondent,1876,1876
Q2050293,Q336977,Directed,1,correspondent,1878,1898
Q2050293,Q110039178,Directed,1,correspondent,1886,1886
Q2050293,Q136759863,Directed,1,bekende,1710,1710
Q26845752,Q336977,Directed,1,correspondent,1896,1896
Q115979418,Q336977,Directed,1,correspondent,1850,1890
Q2580620,Q336977,Directed,1,correspondent,1889,1889
Q2580620,Q2683882,Directed,1,vriend,1710,1710
Q2580620,Q2524668,Directed,1,vriend,1710,1710
Q2580620,Q2134167,Directed,1,vriend,1710,1710
Q2580620,Q2360914,Directed,1,vriend,1710,1710
Q2298746,Q764378,Directed,1,correspondent,1927,1929
Q2298746,Q336977,Directed,1,correspondent,1898,1899
Q2298746,Q2546317,Directed,1,correspondent,1922,1922
Q2298746,Q981444,Directed,1,correspondent,1911,1911
Q2298746,Q2677198,Directed,1,correspondent,1710,1710
Q2298746,Q113627806,Directed,1,correspondent,1912,1912
Q2298746,Q115806479,Directed,1,correspondent,1710,1710
Q2298746,Q115814290,Directed,1,correspondent,1930,1930
Q2450554,Q336977,Directed,1,correspondent,1890,1895
Q2099446,Q336977,Directed,1,correspondent,1897,1897
Q3421496,Q336977,Directed,1,correspondent,1880,1883
Q3421496,Q981444,Directed,1,vriend,1710,1710
Q970036,Q336977,Directed,1,correspondent,1892,1892
Q2481707,Q336977,Directed,1,correspondent,1886,1889
Q124619468,Q336977,Directed,1,correspondent,1710,1710
Q1280942,Q2580620,Directed,1,correspondent,1886,1886
Q1280942,Q2360914,Directed,1,correspondent,1886,1886
Q1280942,Q57197744,Directed,1,correspondent,1886,1886
Q1280942,Q336977,Directed,1,correspondent,1886,1899
Q119039774,Q336977,Directed,1,correspondent,1898,1898
Q13429634,Q336977,Directed,1,klasgenoot,1710,1710
Q129255433,Q336977,Directed,1,bekende,1710,1710
Q116656531,Q336977,Directed,1,correspondent,1710,1710
Q116508558,Q118725738,Directed,1,correspondent,1710,1710
Q116508558,Q336977,Directed,1,correspondent,1857,1863
Q115830433,Q336977,Directed,1,correspondent,1856,1874
Q115830433,Q2619202,Directed,1,correspondent,1710,1710
Q2360599,Q336977,Directed,1,correspondent,1885,1885
Q115979140,Q336977,Directed,1,correspondent,1883,1886
Q3450211,Q336977,Directed,1,correspondent,1891,1896
Q115818861,Q336977,Directed,1,correspondent,1884,1885
Q2215154,Q336977,Directed,1,correspondent,1883,1886
Q2215154,Q981444,Directed,1,vriend,1710,1710
Q115818168,Q336977,Directed,1,correspondent,1891,1897
Q115839088,Q336977,Directed,1,correspondent,1884,1886
Q764378,Q336977,Directed,1,correspondent,1896,1897
Q125535110,Q336977,Directed,1,correspondent,1856,1856
Q2059291,Q336977,Directed,1,correspondent,1896,1896
Q120999304,Q336977,Directed,1,correspondent,1889,1889
Q115844105,Q336977,Directed,1,correspondent,1897,1899
Q115979130,Q336977,Directed,1,correspondent,1880,1880
Q115824358,Q336977,Directed,1,,1889,1889
Q115829623,Q336977,Directed,1,correspondent,1862,1862
Q115829623,Q125544971,Directed,1,,1861,1861
Q115836783,Q336977,Directed,1,correspondent,1859,1859
Q115839360,Q336977,Directed,1,correspondent,1710,1710
