ID,Label,Category,Startyear,EndYear,rol van persoon
Q119454376,t Daghet in den Oosten,Person,1710,1710,medewerker
Q115818424,Achiel Piepers,Person,1889,1889,correspondent
Q119013873,Achiel Van de Putte,Person,1892,1892,correspondent
Q119217729,Achille Croquison,Person,1893,1893,correspondent
Q113754119,Adolf De Wolf,Person,1886,1898,correspondent
Q2524668,Adolf Duclos,Person,1710,1710,correspondent
Q43140929,Adolf Pauwels,Person,1884,1884,correspondent
Q100534520,Adolf Verriest,Person,1872,1872,correspondent
Q136793932,Adèle Serweytens,Person,1710,1710,bekende
Q116687284,Agnes Mary Christophers,Person,1857,1857,correspondent
Q118772822,Albert Aimé Marie Vandewalle,Person,1895,1895,correspondent
Q586323,Albert Verwey,Person,1710,1710,correspondent
Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,Person,1710,1710,correspondent
Q115811921,Alexandre Berghman,Person,1710,1710,bekende
Q56036018,Alexandre Bonvarlet,Person,1885,1891,correspondent
Q118142378,Alfons Bouckaert,Person,1895,1896,correspondent
Q110039191,Alfons Dassonville,Person,1896,1896,correspondent
Q2100582,Alfons De Cock,Person,1895,1897,correspondent
Q2638823,Alfons Janssens,Person,1888,1888,correspondent
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,Person,1888,1888,correspondent
Q2539969,Alfons Siffer,Person,1710,1710,correspondent
Q119621396,Alfons Steinmetz,Person,1710,1710,vriend
Q2050293,Alfons Van Hee,Person,1876,1876,correspondent
Q26845752,Alfred Guichon de Grandpont,Person,1896,1896,correspondent
Q115979418,Aloysius Vandemaele,Person,1850,1890,correspondent
Q2580620,Aloïs Nelis,Person,1889,1889,correspondent
Q2298746,Aloïs Walgrave,Person,1927,1929,correspondent
Q2450554,Alphonse De Leyn,Person,1890,1895,correspondent
Q2099446,Amaat Joos,Person,1897,1897,correspondent
Q3421496,Amaat Vyncke,Person,1880,1883,correspondent
Q970036,Amand Neut,Person,1892,1892,correspondent
Q2481707,Amand de Vos,Person,1886,1889,correspondent
Q124619468,Amelia Vander Stichele,Person,1710,1710,correspondent
Q1280942,Amédée Visart de Bocarmé,Person,1886,1886,correspondent
Q119039774,Andries J. Winkler,Person,1898,1898,correspondent
Q13429634,Angelus August Eugeen Angillis,Person,1710,1710,klasgenoot
Q129255433,Ann Mary Eyre,Person,1710,1710,bekende
Q116656531,Anna Demets,Person,1710,1710,correspondent
Q116508558,Anne Hill,Person,1710,1710,correspondent
Q115830433,Antoine Wemaer,Person,1856,1874,correspondent
Q2360599,Antoon Jozef Witteryck,Person,1885,1885,correspondent
Q115979140,Arsenius Dehulster,Person,1883,1886,correspondent
Q3450211,Arthur De Schrevel,Person,1891,1896,correspondent
Q115818861,Arthur Lewylle,Person,1884,1885,correspondent
Q2215154,August Cuppens,Person,1883,1886,correspondent
Q115818168,August Hoflack,Person,1891,1897,correspondent
Q115839088,August Laporta,Person,1884,1886,correspondent
Q764378,August Vermeylen,Person,1896,1897,correspondent
Q125535110,August William McDonogh,Person,1856,1856,correspondent
Q2059291,Auguste Reyns,Person,1896,1896,correspondent
Q120999304,Augustijn Van Heuverswyn,Person,1889,1889,correspondent
Q115844105,Augustin Van Becelaere,Person,1897,1899,correspondent
Q115979130,Augustinus De Geetere,Person,1880,1880,correspondent
Q115824358,Benedictus Cuppens,Person,1889,1889,
Q115829623,Bruno De Splenter,Person,1862,1862,correspondent
Q115836783,Bruno Joseph Jean Vandale,Person,1859,1859,correspondent
Q115839360,Bruno Van Hove,Person,1710,1710,correspondent
Q115308515,Bruno Vander Stichele,Person,1883,1888,correspondent
Q2154331,Caesar Gezelle,Person,1891,1897,correspondent
Q115840234,Camiel Roelandts,Person,1863,1883,correspondent
Q117409336,Camille Lateur,Person,1894,1894,correspondent
Q117263671,Caroline Janssens,Person,1710,1710,bekende
Q136759863,Carolus Philippus Joannes Marie Josephus de Patin de Langemarck,Person,1710,1710,bekende
Q116621487,Catharine Macdaniel,Person,1862,1862,correspondent
Q116620739,Catherine de Kyvere,Person,1865,1865,correspondent
Q118189670,Cecilia Sarah De Lisle,Person,1868,1868,correspondent
Q2683882,Charles August Verschelde,Person,1880,1880,
Q1877721,Charles Carton,Person,1857,1858,correspondent
Q132321532,Charles De Zitter,Person,1710,1710,buur
Q2715338,Charles Delcour,Person,1710,1710,correspondent
Q136805616,Charles François Joseph Soudan,Person,1710,1710,bekende
Q125472556,Charles Grant Edmonstone,Person,1857,1859,correspondent
Q122974430,Charles Joseph Pagliano,Person,1857,1857,correspondent
Q3538623,Charles van Caloen,Person,1870,1870,correspondent
Q1149378,"Charlotte Fitzalan-Howard, Duchess of Norfolk",Person,1863,1863,correspondent
Q122974373,Clara Andrews,Person,1864,1864,correspondent
Q116510419,Colette Virginie Parvost,Person,1892,1892,correspondent
Q123425604,Comité des Dames Zélatrices de l'oeuvre des Missions du Pôle Nord,Person,1710,1710,geestelijk leidsman
Q123413231,Congrégation du Très Saint Nom de Marie,Person,1710,1710,geestelijk leidsman
Q2457997,Constant Hansen,Person,1886,1896,correspondent
Q115837342,Constantinus Roelandts,Person,1863,1863,correspondent
Q113466955,Cordelia Van de Wiele,Person,1903,1903,correspondent
Q98322098,Cyriel Delaere,Person,1899,1899,correspondent
Q118998471,Denis Auguste Julien Roger,Person,1879,1884,correspondent
Q115834834,Desideer Meersseman,Person,1710,1710,correspondent
Q118733026,Domenico Macry Correale,Person,1889,1897,correspondent
Q55911879,Désiré Claes,Person,1886,1886,correspondent
Q377071,Edgar Tinel,Person,1885,1710,correspondent
Q118120867,Edmond De Plancke,Person,1891,1892,correspondent
Q13575367,Edmond Denys,Person,1893,1899,correspondent
Q118792556,Edmund Benedict Hicks,Person,1863,1863,correspondent
Q2360914,Edward Gailliard,Person,1710,1710,correspondent
Q13575404,Edward Van Even,Person,1888,1888,correspondent
Q113925472,Edward Van Robays,Person,1889,1889,correspondent
Q119217748,Edward Vlietinck,Person,1887,1892,correspondent
Q116621171,Elisa Robinson,Person,1710,1710,correspondent
Q121078322,Elisabeth Josèphe Thérèse van den Broeck,Person,1880,1710,correspondent
Q116689485,Elisabeth Latham,Person,1899,1899,correspondent
Q13576607,Emiel Demonie,Person,1888,1888,correspondent
Q2183646,Emiel Lauwers,Person,1878,1884,correspondent
Q115811038,Emile Dambre,Person,1888,1888,correspondent
Q113486838,Emilie van Outryve d'Ydewalle,Person,1862,1862,correspondent
Q117226377,Emma Crombet,Person,1710,1710,correspondent
Q1334711,Emmanuel Hiel,Person,1889,1891,correspondent
