Source,Target,Type,Id,Label,timeset,Weight,relationtype,endyeare
Q322106,Q336977,Undirected,0,,,1,Significant persoon,1882
Q329468,Q336977,Undirected,1,,,1,Significant persoon,1869
Q378133,Q336977,Undirected,2,,,1,Significant persoon,1858
Q586323,Q336977,Undirected,3,,,1,Significant persoon,1899
Q672816,Q336977,Undirected,4,,,1,Significant persoon,1862
Q721772,Q336977,Undirected,5,,,1,Significant persoon,1896
Q764378,Q336977,Undirected,7,,,1,Significant persoon,1896
Q961180,Q336977,Undirected,8,,,1,Significant persoon,1884
Q970036,Q336977,Undirected,9,,,1,Significant persoon,1892
Q975292,Q336977,Undirected,10,,,1,Significant persoon,1900
Q981444,Q336977,Undirected,11,,,1,Significant persoon,1862
Q1149378,Q336977,Undirected,12,,,1,Significant persoon,1863
Q1286149,Q336977,Undirected,13,,,1,Significant persoon,1858
Q1796639,Q336977,Undirected,14,,,1,Significant persoon,1900
Q1894475,Q336977,Undirected,15,,,1,Significant persoon,1892
Q1896762,Q336977,Undirected,16,,,1,Significant persoon,1896
Q1978131,Q336977,Undirected,17,,,1,Significant persoon,1892
Q1978794,Q336977,Undirected,18,,,1,Significant persoon,1858
Q1980194,Q336977,Undirected,19,,,1,Significant persoon,1900
Q2059291,Q336977,Undirected,20,,,1,Significant persoon,1896
Q2062803,Q336977,Undirected,21,,,1,Significant persoon,1859
Q2100582,Q336977,Undirected,22,,,1,Significant persoon,1895
Q2134167,Q336977,Undirected,23,,,1,Significant persoon,1899
Q2159132,Q336977,Undirected,24,,,1,Significant persoon,1855
Q2181847,Q336977,Undirected,25,,,1,Significant persoon,1881
Q2182306,Q336977,Undirected,26,,,1,Significant persoon,1900
Q2203619,Q336977,Undirected,27,,,1,Significant persoon,1892
Q2332586,Q336977,Undirected,28,,,1,Significant persoon,1881
Q2360599,Q336977,Undirected,29,,,1,Significant persoon,1885
Q2393557,Q336977,Undirected,31,,,1,Significant persoon,1900
Q2413334,Q336977,Undirected,32,,,1,Significant persoon,1883
Q2424814,Q336977,Undirected,33,,,1,Significant persoon,1855
Q2496044,Q336977,Undirected,34,,,1,Significant persoon,1872
Q2539969,Q336977,Undirected,35,,,1,Significant persoon,1886
Q2580620,Q336977,Undirected,36,,,1,Significant persoon,1889
Q2606766,Q336977,Undirected,37,,,1,Significant persoon,1878
Q2617184,Q336977,Undirected,39,,,1,Significant persoon,1882
Q2638823,Q336977,Undirected,40,,,1,Significant persoon,1885
Q2672741,Q336977,Undirected,41,,,1,Significant persoon,1869
Q2677198,Q336977,Undirected,42,,,1,Significant persoon,1900
Q2683882,Q336977,Undirected,43,,,1,Significant persoon,1880
Q2684959,Q336977,Undirected,44,,,1,Significant persoon,1873
Q2715338,Q336977,Undirected,45,,,1,Significant persoon,1900
Q2754460,Q336977,Undirected,46,,,1,Significant persoon,1900
Q2779054,Q336977,Undirected,47,,,1,Significant persoon,1874
Q2832059,Q336977,Undirected,48,,,1,Significant persoon,1900
Q3080591,Q336977,Undirected,49,,,1,Significant persoon,1894
Q111336261,Q336977,Undirected,50,,,1,Significant persoon,1899
Q111744944,Q336977,Undirected,51,,,1,Significant persoon,1858
Q113466955,Q336977,Undirected,52,,,1,Significant persoon,1886
Q113486838,Q336977,Undirected,54,,,1,Significant persoon,1862
Q113627806,Q336977,Undirected,55,,,1,Significant persoon,1864
Q113675636,Q336977,Undirected,56,,,1,Significant persoon,1886
Q113731929,Q336977,Undirected,57,,,1,Significant persoon,1865
Q113925472,Q336977,Undirected,58,,,1,Significant persoon,1884
Q114945031,Q336977,Undirected,59,,,1,Significant persoon,1863
Q115104760,Q336977,Undirected,60,,,1,Significant persoon,1900
Q115806479,Q336977,Undirected,61,,,1,Significant persoon,1887
Q115809938,Q336977,Undirected,62,,,1,Significant persoon,1882
Q115811027,Q336977,Undirected,63,,,1,Significant persoon,1900
Q115811038,Q336977,Undirected,64,,,1,Significant persoon,1888
Q115811334,Q336977,Undirected,65,,,1,Significant persoon,1881
Q115811922,Q336977,Undirected,66,,,1,Significant persoon,1900
Q115811921,Q336977,Undirected,67,,,1,Significant persoon,1900
Q115813025,Q336977,Undirected,68,,,1,Significant persoon,1889
Q115813555,Q336977,Undirected,69,,,1,Significant persoon,1889
Q115813874,Q336977,Undirected,70,,,1,Significant persoon,1884
Q115814591,Q336977,Undirected,71,,,1,Significant persoon,1877
Q115815004,Q336977,Undirected,72,,,1,Significant persoon,1868
Q115817390,Q336977,Undirected,73,,,1,Significant persoon,1856
Q115817919,Q336977,Undirected,74,,,1,Significant persoon,1887
Q115818009,Q336977,Undirected,75,,,1,Significant persoon,1885
Q115818424,Q336977,Undirected,76,,,1,Significant persoon,1889
Q115818541,Q336977,Undirected,77,,,1,Significant persoon,1870
Q115818649,Q336977,Undirected,78,,,1,Significant persoon,1877
Q115818718,Q336977,Undirected,79,,,1,Significant persoon,1896
Q115819047,Q336977,Undirected,80,,,1,Significant persoon,1890
Q115819088,Q336977,Undirected,81,,,1,Significant persoon,1861
Q115819139,Q336977,Undirected,82,,,1,Significant persoon,1887
Q115820945,Q336977,Undirected,83,,,1,Significant persoon,1889
Q115821479,Q336977,Undirected,84,,,1,Significant persoon,1897
Q115823355,Q336977,Undirected,85,,,1,Significant persoon,1877
Q115824358,Q336977,Undirected,86,,,1,Significant persoon,1889
Q115825488,Q336977,Undirected,87,,,1,Significant persoon,1884
Q115826199,Q336977,Undirected,88,,,1,Significant persoon,1900
Q115826830,Q336977,Undirected,89,,,1,Significant persoon,1877
Q115827506,Q336977,Undirected,90,,,1,Significant persoon,1877
Q115829623,Q336977,Undirected,91,,,1,Significant persoon,1859
Q115829742,Q336977,Undirected,92,,,1,Significant persoon,1900
Q115829884,Q336977,Undirected,93,,,1,Significant persoon,1870
Q115831509,Q336977,Undirected,94,,,1,Significant persoon,1894
Q115831919,Q336977,Undirected,95,,,1,Significant persoon,1877
Q115831995,Q336977,Undirected,96,,,1,Significant persoon,1860
Q115832532,Q336977,Undirected,97,,,1,Significant persoon,1887
Q115833316,Q336977,Undirected,98,,,1,Significant persoon,1900
Q115834468,Q336977,Undirected,99,,,1,Significant persoon,1877
Q115834690,Q336977,Undirected,100,,,1,Significant persoon,1864
Q115834833,Q336977,Undirected,101,,,1,Significant persoon,1900
Q115834868,Q336977,Undirected,102,,,1,Significant persoon,1900
Q115834873,Q336977,Undirected,103,,,1,Significant persoon,1877
Q115835025,Q336977,Undirected,104,,,1,Significant persoon,1874
Q115835156,Q336977,Undirected,105,,,1,Significant persoon,1900
Q115835763,Q336977,Undirected,106,,,1,Significant persoon,1899
Q115836065,Q336977,Undirected,107,,,1,Significant persoon,1900
Q115836217,Q336977,Undirected,108,,,1,Significant persoon,1861
Q115836783,Q336977,Undirected,109,,,1,Significant persoon,1859
Q115836854,Q336977,Undirected,110,,,1,Significant persoon,1887
Q115836962,Q336977,Undirected,111,,,1,Significant persoon,1899
Q115837342,Q336977,Undirected,112,,,1,Significant persoon,1863
Q115837593,Q336977,Undirected,113,,,1,Significant persoon,1860
Q115837633,Q336977,Undirected,114,,,1,Significant persoon,1860
Q115837646,Q336977,Undirected,115,,,1,Significant persoon,1887
Q115838249,Q336977,Undirected,116,,,1,Significant persoon,1883
Q115838569,Q336977,Undirected,117,,,1,Significant persoon,1882
Q115839360,Q336977,Undirected,118,,,1,Significant persoon,1857
Q115839946,Q336977,Undirected,119,,,1,Significant persoon,1860
Q115839975,Q336977,Undirected,120,,,1,Significant persoon,1890
Q115840228,Q336977,Undirected,121,,,1,Significant persoon,1900
Q115841074,Q336977,Undirected,122,,,1,Significant persoon,1877
Q115844249,Q336977,Undirected,123,,,1,Significant persoon,1900
Q115844668,Q336977,Undirected,124,,,1,Significant persoon,1882
Q115846413,Q336977,Undirected,125,,,1,Significant persoon,1870
Q115852702,Q336977,Undirected,126,,,1,Significant persoon,1889
Q115855636,Q336977,Undirected,127,,,1,Significant persoon,1880
Q115979029,Q336977,Undirected,128,,,1,Significant persoon,1871
Q115979048,Q336977,Undirected,129,,,1,Significant persoon,1854
Q115979130,Q336977,Undirected,130,,,1,Significant persoon,1880
Q115979543,Q336977,Undirected,131,,,1,Significant persoon,1896
Q115979812,Q336977,Undirected,132,,,1,Significant persoon,1885
Q115979952,Q336977,Undirected,133,,,1,Significant persoon,1854
Q115979994,Q336977,Undirected,134,,,1,Significant persoon,1865
Q115982426,Q336977,Undirected,135,,,1,Significant persoon,1877
Q115982545,Q336977,Undirected,136,,,1,Significant persoon,1882
Q115982585,Q336977,Undirected,137,,,1,Significant persoon,1900
Q116460145,Q336977,Undirected,138,,,1,Significant persoon,1881
Q116508494,Q336977,Undirected,139,,,1,Significant persoon,1900
Q116508871,Q336977,Undirected,140,,,1,Significant persoon,1880
Q116508893,Q336977,Undirected,142,,,1,Significant persoon,1870
Q116509131,Q336977,Undirected,143,,,1,Significant persoon,1893
Q116510419,Q336977,Undirected,144,,,1,Significant persoon,1892
Q116510958,Q336977,Undirected,145,,,1,Significant persoon,1871
Q116522102,Q336977,Undirected,146,,,1,Significant persoon,1891
Q116620790,Q336977,Undirected,147,,,1,Significant persoon,1897
Q116620833,Q336977,Undirected,148,,,1,Significant persoon,1900
Q116620896,Q336977,Undirected,149,,,1,Significant persoon,1878
Q116620937,Q336977,Undirected,150,,,1,Significant persoon,1860
Q116620970,Q336977,Undirected,151,,,1,Significant persoon,1862
Q116621171,Q336977,Undirected,152,,,1,Significant persoon,1900
Q116621244,Q336977,Undirected,153,,,1,Significant persoon,1868
Q116621328,Q336977,Undirected,154,,,1,Significant persoon,1872
Q116621363,Q336977,Undirected,155,,,1,Significant persoon,1891
Q116621487,Q336977,Undirected,156,,,1,Significant persoon,1862
Q116621552,Q336977,Undirected,157,,,1,Significant persoon,1888
Q116621699,Q336977,Undirected,158,,,1,Significant persoon,1900
Q116621725,Q336977,Undirected,159,,,1,Significant persoon,1900
Q116621811,Q336977,Undirected,160,,,1,Significant persoon,1900
Q116656531,Q336977,Undirected,162,,,1,Significant persoon,1900
Q116659577,Q336977,Undirected,163,,,1,Significant persoon,1900
Q116660566,Q336977,Undirected,164,,,1,Significant persoon,1851
Q116687284,Q336977,Undirected,165,,,1,Significant persoon,1857
Q116687401,Q336977,Undirected,166,,,1,Significant persoon,1888
Q116688354,Q336977,Undirected,167,,,1,Significant persoon,1889
Q116689485,Q336977,Undirected,168,,,1,Significant persoon,1899
Q117226377,Q336977,Undirected,169,,,1,Significant persoon,1900
Q117227189,Q336977,Undirected,172,,,1,Significant persoon,1895
Q117229438,Q336977,Undirected,173,,,1,Significant persoon,1894
Q117229566,Q336977,Undirected,174,,,1,Significant persoon,1897
Q117244596,Q336977,Undirected,175,,,1,Significant persoon,1887
Q117244643,Q336977,Undirected,176,,,1,Significant persoon,1879
Q117244772,Q336977,Undirected,179,,,1,Significant persoon,1888
Q3171149,Q336977,Undirected,180,,,1,Significant persoon,1894
Q3421496,Q336977,Undirected,181,,,1,Significant persoon,1880
Q3431564,Q336977,Undirected,182,,,1,Significant persoon,1891
Q3538623,Q336977,Undirected,183,,,1,Significant persoon,1870
Q3557112,Q336977,Undirected,184,,,1,Significant persoon,1900
Q4722117,Q336977,Undirected,185,,,1,Significant persoon,1894
Q4865289,Q336977,Undirected,186,,,1,Significant persoon,1881
Q5006521,Q336977,Undirected,187,,,1,Significant persoon,1861
Q5983066,Q336977,Undirected,188,,,1,Significant persoon,1859
Q7190386,Q336977,Undirected,189,,,1,Significant persoon,1895
Q11029222,Q336977,Undirected,190,,,1,Significant persoon,1891
Q13575404,Q336977,Undirected,191,,,1,Significant persoon,1888
Q13576607,Q336977,Undirected,192,,,1,Significant persoon,1881
Q13769746,Q336977,Undirected,193,,,1,Significant persoon,1893
Q14101076,Q336977,Undirected,194,,,1,Significant persoon,1896
Q14331462,Q336977,Undirected,195,,,1,Significant persoon,1884
Q15461013,Q336977,Undirected,196,,,1,Significant persoon,1874
Q15627098,Q336977,Undirected,197,,,1,Significant persoon,1871
Q18093100,Q336977,Undirected,199,,,1,Significant persoon,1900
Q18415039,Q336977,Undirected,200,,,1,Significant persoon,1900
Q26845752,Q336977,Undirected,201,,,1,Significant persoon,1896
Q28584401,Q336977,Undirected,202,,,1,Significant persoon,1880
Q37793252,Q336977,Undirected,203,,,1,Significant persoon,1900
Q41885755,Q336977,Undirected,204,,,1,Significant persoon,1900
Q42196616,Q336977,Undirected,206,,,1,Significant persoon,1886
Q42306892,Q336977,Undirected,207,,,1,Significant persoon,1892
Q43129301,Q336977,Undirected,208,,,1,Significant persoon,1885
Q43140929,Q336977,Undirected,209,,,1,Significant persoon,1884
Q45029767,Q336977,Undirected,210,,,1,Significant persoon,1887
Q55232762,Q336977,Undirected,211,,,1,Significant persoon,1888
Q55233295,Q336977,Undirected,212,,,1,Significant persoon,1860
Q55420570,Q336977,Undirected,213,,,1,Significant persoon,1890
Q55911879,Q336977,Undirected,214,,,1,Significant persoon,1886
Q56036025,Q336977,Undirected,215,,,1,Significant persoon,1886
Q56036059,Q336977,Undirected,216,,,1,Significant persoon,1888
Q57197744,Q336977,Undirected,217,,,1,Significant persoon,1883
Q61506427,Q336977,Undirected,218,,,1,Significant persoon,1860
Q62080181,Q336977,Undirected,219,,,1,Significant persoon,1890
Q62117109,Q336977,Undirected,220,,,1,Significant persoon,1893
Q76019711,Q336977,Undirected,221,,,1,Significant persoon,1861
Q86735347,Q336977,Undirected,222,,,1,Significant persoon,1895
Q87648661,Q336977,Undirected,223,,,1,Significant persoon,1895
Q94896539,Q336977,Undirected,224,,,1,Significant persoon,1862
Q96776537,Q336977,Undirected,225,,,1,Significant persoon,1900
Q98322098,Q336977,Undirected,226,,,1,Significant persoon,1891
Q100534520,Q336977,Undirected,227,,,1,Significant persoon,1868
