Source,Target,Type,Id,Label,timeset,Weight,rollabel,finalstartyearfixvalue,finalendyearfixvalue,Color
Q119454376,Q336977,Directed,0,,"<[1830.0, 1899.0]>",1,medewerker,1830,1899,"#c0c0c0"
Q115818424,Q336977,Directed,1,,"<[1889.0, 1889.0]>",1,correspondent,1889,1889,"#00c4ff"
Q119013873,Q336977,Directed,2,,"<[1892.0, 1892.0]>",1,correspondent,1892,1892,"#00c4ff"
Q119217729,Q336977,Directed,3,,"<[1893.0, 1893.0]>",1,correspondent,1893,1893,"#00c4ff"
Q113754119,Q336977,Directed,4,,"<[1886.0, 1898.0]>",1,correspondent,1886,1898,"#00c4ff"
Q2524668,Q2491266,Directed,5,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q115820195,Directed,7,,"<[1889.0, 1889.0]>",1,correspondent,1889,1889,"#00c4ff"
Q2524668,Q110039178,Directed,8,,"<[1879.0, 1879.0]>",1,correspondent,1879,1879,"#00c4ff"
Q2524668,Q2298746,Directed,9,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q2361397,Directed,10,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q2546317,Directed,14,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q336977,Directed,15,,"<[1867.0, 1885.0]>",1,correspondent,1867,1885,"#00c4ff"
Q2524668,Q13575404,Directed,16,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q115811334,Directed,17,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q2542423,Directed,18,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q1978794,Directed,19,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q2099446,Directed,20,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q110039361,Directed,21,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q62080181,Directed,22,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q2617184,Directed,23,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q329468,Directed,24,,"<[1884.0, 1884.0]>",1,correspondent,1884,1884,"#00c4ff"
Q2524668,Q1920135,Directed,25,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q56036067,Directed,26,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q2524668,Q784390,Directed,27,,"<[1889.0, 1891.0]>",1,correspondent,1889,1891,"#00c4ff"
Q2524668,Q2496044,Directed,28,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q43140929,Q336977,Directed,29,,"<[1884.0, 1884.0]>",1,correspondent,1884,1884,"#00c4ff"
Q100534520,Q336977,Directed,30,,"<[1830.0, 1899.0]>",1,vriend,1830,1899,"#c0c0c0"
Q100534520,Q784390,Directed,31,,"<[1886.0, 1886.0]>",1,correspondent,1886,1886,"#00c4ff"
Q136793932,Q336977,Directed,33,,"<[1830.0, 1899.0]>",1,bekende,1830,1899,"#00bd94"
Q116687284,Q336977,Directed,34,,"<[1857.0, 1857.0]>",1,correspondent,1857,1857,"#00c4ff"
Q118772822,Q336977,Directed,35,,"<[1895.0, 1895.0]>",1,correspondent,1895,1895,"#00c4ff"
Q586323,Q981444,Directed,36,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q586323,Q336977,Directed,37,,"<[1899.0, 1899.0]>",1,correspondent,1899,1899,"#00c4ff"
Q2832059,Q336977,Directed,38,,"<[1830.0, 1899.0]>",1,correspondent,1830,1899,"#00c4ff"
Q115811921,Q336977,Directed,39,,"<[1830.0, 1899.0]>",1,bekende,1830,1899,"#00bd94"
Q115811921,Q62080181,Directed,40,,"<[1830.0, 1899.0]>",1,bekende,1830,1899,"#00bd94"
Q56036018,Q336977,Directed,41,,"<[1885.0, 1891.0]>",1,correspondent,1885,1891,"#00c4ff"
Q118142378,Q336977,Directed,42,,"<[1895.0, 1896.0]>",1,correspondent,1895,1896,"#00c4ff"
Q110039191,Q336977,Directed,43,,"<[1896.0, 1896.0]>",1,correspondent,1896,1896,"#00c4ff"
Q2100582,Q336977,Directed,44,,"<[1895.0, 1897.0]>",1,correspondent,1895,1897,"#00c4ff"
Q2638823,Q113466955,Directed,45,,"<[1888.0, 1888.0]>",1,correspondent,1888,1888,"#00c4ff"
Q2638823,Q336977,Directed,46,,"<[1885.0, 1892.0]>",1,correspondent,1885,1892,"#00c4ff"
