Id,Label,timeset,category,startyearcorfixvalue,endyearcor,X,Y,Size,Color
Q119454376,t Daghet in den Oosten,"<[1830.0, 1830.0]>",Person,1830,1830,222.472504,-1885.942993,10,"#d97dd8"
Q115818424,Achiel Piepers,"<[1889.0, 1889.0]>",Person,1889,1889,571.231018,473.050751,30.425531,"#d97dd8"
Q119013873,Achiel Van de Putte,"<[1892.0, 1892.0]>",Person,1892,1892,55.357922,1022.559753,25.319149,"#d97dd8"
Q119217729,Achille Croquison,"<[1893.0, 1893.0]>",Person,1893,1893,84.010956,-1791.049683,10,"#d97dd8"
Q113754119,Adolf De Wolf,"<[1886.0, 1898.0]>",Person,1886,1898,507.720032,-1797.813965,11.276596,"#ffbcae"
Q2524668,Adolf Duclos,"<[1830.0, 1830.0]>",Person,1830,1830,-808.622375,147.071594,57.234043,"#d97dd8"
Q43140929,Adolf Pauwels,"<[1884.0, 1884.0]>",Person,1884,1884,-957.146118,-1449.699097,13.829787,"#d97dd8"
Q100534520,Adolf Verriest,"<[1872.0, 1872.0]>",Person,1872,1872,-781.216614,-565.926819,18.936169,"#d97dd8"
Q136793932,Adèle Serweytens,"<[1830.0, 1830.0]>",Person,1830,1830,769.187744,-798.416199,11.276596,"#d97dd8"
Q116687284,Agnes Mary Christophers,"<[1857.0, 1857.0]>",Person,1857,1857,1450.172852,-1739.598267,15.106382,"#d97dd8"
Q118772822,Albert Aimé Marie Vandewalle,"<[1895.0, 1895.0]>",Person,1895,1895,-542.218872,-1663.441772,13.829787,"#d97dd8"
Q586323,Albert Verwey,"<[1830.0, 1830.0]>",Person,1830,1830,-1292.998779,-312.848511,24.042553,"#d97dd8"
Q2832059,Albéric Emmanuel Henri Marie Ghislain Ruzette,"<[1830.0, 1830.0]>",Person,1830,1830,-811.741272,-1228.940918,13.829787,"#d97dd8"
Q115811921,Alexandre Berghman,"<[1830.0, 1830.0]>",Person,1830,1830,978.617615,104.737709,22.765957,"#d97dd8"
Q56036018,Alexandre Bonvarlet,"<[1885.0, 1891.0]>",Person,1885,1891,-921.750122,-1032.48938,16.382978,"#d97dd8"
Q118142378,Alfons Bouckaert,"<[1895.0, 1896.0]>",Person,1895,1896,266.658173,269.986664,18.936169,"#d97dd8"
Q110039191,Alfons Dassonville,"<[1896.0, 1896.0]>",Person,1896,1896,1019.098267,567.736023,34.255318,"#d97dd8"
Q2100582,Alfons De Cock,"<[1895.0, 1897.0]>",Person,1895,1897,-1310.342407,-241.363983,17.659575,"#ffbcae"
Q2638823,Alfons Janssens,"<[1888.0, 1888.0]>",Person,1888,1888,-878.237244,-766.828369,24.042553,"#d97dd8"
Q56036059,Alfons Maria Napoleon Prayon-van Zuylen van Nyevelt,"<[1888.0, 1888.0]>",Person,1888,1888,-997.023315,-888.839172,18.936169,"#d97dd8"
Q2539969,Alfons Siffer,"<[1830.0, 1830.0]>",Person,1830,1830,-1000.654846,-1329.689819,18.936169,"#d97dd8"
Q119621396,Alfons Steinmetz,"<[1830.0, 1830.0]>",Person,1830,1830,258.277588,-1946.137573,11.276596,"#d97dd8"
Q2050293,Alfons Van Hee,"<[1876.0, 1876.0]>",Person,1876,1876,-221.128937,174.85878,32.978722,"#d97dd8"
Q26845752,Alfred Guichon de Grandpont,"<[1896.0, 1896.0]>",Person,1896,1896,-1064.667969,-1264.60022,13.829787,"#d97dd8"
Q115979418,Aloysius Vandemaele,"<[1850.0, 1890.0]>",Person,1850,1890,963.434509,674.292603,31.702127,"#d97dd8"
Q2580620,Aloïs Nelis,"<[1889.0, 1889.0]>",Person,1889,1889,-1245.281372,-168.02774,34.255318,"#d97dd8"
Q2298746,Aloïs Walgrave,"<[1927.0, 1929.0]>",Person,1927,1929,-639.037781,160.879852,34.255318,"#d97dd8"
Q2450554,Alphonse De Leyn,"<[1890.0, 1895.0]>",Person,1890,1895,86.077721,134.564957,25.319149,"#d97dd8"
Q2099446,Amaat Joos,"<[1897.0, 1897.0]>",Person,1897,1897,-824.375793,295.840302,26.595745,"#ffbcae"
Q3421496,Amaat Vyncke,"<[1880.0, 1883.0]>",Person,1880,1883,476.930634,124.969963,34.255318,"#d97dd8"
Q970036,Amand Neut,"<[1892.0, 1892.0]>",Person,1892,1892,-937.052429,-865.661133,17.659575,"#d97dd8"
Q2481707,Amand de Vos,"<[1886.0, 1889.0]>",Person,1886,1889,-690.602844,-436.598633,17.659575,"#d97dd8"
Q124619468,Amelia Vander Stichele,"<[1830.0, 1830.0]>",Person,1830,1830,1716.454346,-1217.495117,16.382978,"#d97dd8"
Q1280942,Amédée Visart de Bocarmé,"<[1886.0, 1886.0]>",Person,1886,1886,-1253.275879,-1090.334106,17.659575,"#d97dd8"
Q119039774,Andries J. Winkler,"<[1898.0, 1898.0]>",Person,1898,1898,-1375.000122,-355.298889,13.829787,"#ffbcae"
Q13429634,Angelus August Eugeen Angillis,"<[1830.0, 1830.0]>",Person,1830,1830,-822.182617,-617.715393,16.382978,"#d97dd8"
Q129255433,Ann Mary Eyre,"<[1830.0, 1830.0]>",Person,1830,1830,809.440613,-802.688354,11.276596,"#d97dd8"
Q116656531,Anna Demets,"<[1830.0, 1830.0]>",Person,1830,1830,870.731689,-1373.952148,12.553191,"#d97dd8"
Q116508558,Anne Hill,"<[1830.0, 1830.0]>",Person,1830,1830,1361.73584,-679.125244,16.382978,"#d97dd8"
Q115830433,Antoine Wemaer,"<[1856.0, 1874.0]>",Person,1856,1874,-527.040161,241.78801,31.702127,"#d97dd8"
Q2360599,Antoon Jozef Witteryck,"<[1885.0, 1885.0]>",Person,1885,1885,-388.681,-2014.596191,16.382978,"#d97dd8"
Q115979140,Arsenius Dehulster,"<[1883.0, 1886.0]>",Person,1883,1886,484.187744,418.700714,29.148935,"#d97dd8"
Q3450211,Arthur De Schrevel,"<[1891.0, 1896.0]>",Person,1891,1896,-591.159363,303.483215,24.042553,"#d97dd8"
Q115818861,Arthur Lewylle,"<[1884.0, 1885.0]>",Person,1884,1885,508.662231,466.591217,13.829787,"#d97dd8"
Q2215154,August Cuppens,"<[1883.0, 1886.0]>",Person,1883,1886,-335.217407,30.299826,26.595745,"#d97dd8"
Q115818168,August Hoflack,"<[1891.0, 1897.0]>",Person,1891,1897,1390.386353,606.93103,27.872339,"#ffbcae"
Q115839088,August Laporta,"<[1884.0, 1886.0]>",Person,1884,1886,-898.542297,-1353.886597,12.553191,"#d97dd8"
Q764378,August Vermeylen,"<[1896.0, 1897.0]>",Person,1896,1897,-1491.599609,-494.605591,21.489361,"#ffbcae"
Q125535110,August William McDonogh,"<[1856.0, 1856.0]>",Person,1856,1856,558.698181,-1965.266724,13.829787,"#d97dd8"
Q2059291,Auguste Reyns,"<[1896.0, 1896.0]>",Person,1896,1896,-1229.963745,-1027.52063,15.106382,"#d97dd8"
Q120999304,Augustijn Van Heuverswyn,"<[1889.0, 1889.0]>",Person,1889,1889,-836.141479,488.230713,24.042553,"#d97dd8"
Q115844105,Augustin Van Becelaere,"<[1897.0, 1899.0]>",Person,1897,1899,782.640442,172.406479,26.595745,"#ffbcae"
Q115979130,Augustinus De Geetere,"<[1880.0, 1880.0]>",Person,1880,1880,872.103516,727.358643,27.872339,"#d97dd8"
